#Data tag : 19v3 , Norm tag: None
#run:fill,time,ncms,hltpath,delivered(/fb),recorded(/fb)
318874:6860,06/28/18 17:39:38,320,HLT_DoubleMu4_PsiPrimeTrk_Displaced_v15,0.104220627,0.099565217
318876:6860,06/28/18 19:45:23,161,HLT_DoubleMu4_PsiPrimeTrk_Displaced_v15,0.049033569,0.046587025
318877:6860,06/28/18 20:49:22,615,HLT_DoubleMu4_PsiPrimeTrk_Displaced_v15,0.165061387,0.160548836
319077:6874,07/01/18 23:27:46,41,HLT_DoubleMu4_PsiPrimeTrk_Displaced_v15,0.016847099,0.016371875
319337:6901,07/08/18 02:05:51,2193,HLT_DoubleMu4_PsiPrimeTrk_Displaced_v15,0.237348102,0.232388818
319347:6904,07/08/18 19:53:18,651,HLT_DoubleMu4_PsiPrimeTrk_Displaced_v15,0.229076515,0.210856031
319348:6904,07/09/18 00:07:18,37,HLT_DoubleMu4_PsiPrimeTrk_Displaced_v15,0.010960648,0.005006475
319349:6904,07/09/18 00:23:34,148,HLT_DoubleMu4_PsiPrimeTrk_Displaced_v15,0.041965227,0.040843828
319449:6909,07/09/18 20:59:32,698,HLT_DoubleMu4_PsiPrimeTrk_Displaced_v15,0.259586491,0.249173726
319450:6909,07/10/18 01:32:44,681,HLT_DoubleMu4_PsiPrimeTrk_Displaced_v15,0.212504803,0.207045612
319456:6909,07/10/18 07:08:40,209,HLT_DoubleMu4_PsiPrimeTrk_Displaced_v15,0.054018897,0.052015625
319459:6909,07/10/18 08:32:35,78,HLT_DoubleMu4_PsiPrimeTrk_Displaced_v15,0.017641441,0.017212101
319486:6911,07/11/18 09:10:21,66,HLT_DoubleMu4_PsiPrimeTrk_Displaced_v15,0.021061388,0.020314797
319503:6911,07/11/18 17:30:46,317,HLT_DoubleMu4_PsiPrimeTrk_Displaced_v15,0.094813078,0.090959188
319524:6912,07/11/18 22:27:29,1424,HLT_DoubleMu4_PsiPrimeTrk_Displaced_v15,0.470771755,0.456701499
319526:6912,07/12/18 08:14:19,282,HLT_DoubleMu4_PsiPrimeTrk_Displaced_v15,0.071759686,0.069659575
319528:6912,07/12/18 10:12:58,254,HLT_DoubleMu4_PsiPrimeTrk_Displaced_v15,0.059799445,0.058410906
319579:6919,07/13/18 04:43:17,3128,HLT_DoubleMu4_PsiPrimeTrk_Displaced_v15,0.842700420,0.818490479
319625:6921,07/14/18 14:05:51,190,HLT_DoubleMu4_PsiPrimeTrk_Displaced_v15,0.072958182,0.070596043
319639:6923,07/14/18 18:52:13,1479,HLT_DoubleMu4_PsiPrimeTrk_Displaced_v15,0.423548196,0.409340341
319656:6924,07/15/18 07:26:01,256,HLT_DoubleMu4_PsiPrimeTrk_Displaced_v15,0.091266968,0.086471826
319657:6924,07/15/18 09:09:07,167,HLT_DoubleMu4_PsiPrimeTrk_Displaced_v15,0.053752827,0.051824096
319658:6924,07/15/18 10:17:14,222,HLT_DoubleMu4_PsiPrimeTrk_Displaced_v15,0.063914335,0.061716393
319659:6924,07/15/18 11:50:26,87,HLT_DoubleMu4_PsiPrimeTrk_Displaced_v15,0.022608350,0.021787667
